"DateTime","WTEQ","SNWD","PREC","TAVG","RHUM","WSPDV","SWINV"
2003-10-01,0,0,0,0,0,0,0
2003-10-02,0,0,0,0,0,0,0
2003-10-03,0,0,0,0,0,0,0
2003-10-04,0,0,0,0,0,0,0
2003-10-05,0,0,0.1,0,0,0,0
2003-10-06,0,0,0.1,0,0,0,0
2003-10-07,0,0,0.1,0,0,0,0
2003-10-08,0,0,0.1,0,0,0,0
2003-10-09,0,0,0.1,0,0,0,0
2003-10-10,0,0,0.2,0,0,0,0
2003-10-11,0.5,3,0.7,0.5,0.5,0.5,0.5
2003-10-12,0.7,4,0.8,0.7,0.7,0.7,0.7
2003-10-13,0.7,3,0.9,0.7,0.7,0.7,0.7
2003-10-14,0.7,3,0.9,0.7,0.7,0.7,0.7
2003-10-15,0.7,1,0.9,0.7,0.7,0.7,0.7
2003-10-16,0.9,2,1.1,0.9,0.9,0.9,0.9
2003-10-17,1,3,1.2,1,1,1,1
2003-10-18,0.9,3,1.2,0.9,0.9,0.9,0.9
2003-10-19,0.9,2,1.2,0.9,0.9,0.9,0.9
2003-10-20,0.7,2,1.2,0.7,0.7,0.7,0.7
2003-10-21,0.5,1,1.2,0.5,0.5,0.5,0.5
2003-10-22,0,0,1.2,0,0,0,0
2003-10-23,0,0,1.2,0,0,0,0
2003-10-24,0,0,1.2,0,0,0,0
2003-10-25,0,0,1.2,0,0,0,0
2003-10-26,0,0,1.2,0,0,0,0
2003-10-27,0,0,1.2,0,0,0,0
2003-10-28,0,0,1.2,0,0,0,0
2003-10-29,0.2,2,1.7,0.2,0.2,0.2,0.2
2003-10-30,0.7,6,2.2,0.7,0.7,0.7,0.7
2003-10-31,0.9,5,2.2,0.9,0.9,0.9,0.9
2003-11-01,0.9,4,2.3,0.9,0.9,0.9,0.9
2003-11-02,0.9,4,2.4,0.9,0.9,0.9,0.9
2003-11-03,0.8,4,2.5,0.8,0.8,0.8,0.8
2003-11-04,1,8,2.8,1,1,1,1
2003-11-05,1,8,2.8,1,1,1,1
2003-11-06,1,8,2.8,1,1,1,1
2003-11-07,1,7,2.8,1,1,1,1
2003-11-08,1.3,6,2.9,1.3,1.3,1.3,1.3
2003-11-09,1.5,8,3.1,1.5,1.5,1.5,1.5
2003-11-10,1.6,9,3.2,1.6,1.6,1.6,1.6
2003-11-11,1.8,10,3.4,1.8,1.8,1.8,1.8
2003-11-12,2.3,15,3.7,2.3,2.3,2.3,2.3
2003-11-13,2.3,13,3.7,2.3,2.3,2.3,2.3
2003-11-14,2.5,13,3.9,2.5,2.5,2.5,2.5
2003-11-15,2.5,12,3.9,2.5,2.5,2.5,2.5
2003-11-16,2.5,11,3.9,2.5,2.5,2.5,2.5
2003-11-17,2.8,16,4.1,2.8,2.8,2.8,2.8
2003-11-18,2.8,14,4.1,2.8,2.8,2.8,2.8
2003-11-19,2.9,14,4.3,2.9,2.9,2.9,2.9
2003-11-20,3,15,4.3,3,3,3,3
2003-11-21,3,14,4.3,3,3,3,3
2003-11-22,3,14,4.3,3,3,3,3
2003-11-23,3,14,4.3,3,3,3,3
2003-11-24,3.1,14,4.3,3.1,3.1,3.1,3.1
2003-11-25,3.3,16,4.5,3.3,3.3,3.3,3.3
2003-11-26,3.4,16,4.6,3.4,3.4,3.4,3.4
2003-11-27,3.5,17,4.7,3.5,3.5,3.5,3.5
2003-11-28,3.5,17,4.7,3.5,3.5,3.5,3.5
2003-11-29,3.7,16,4.9,3.7,3.7,3.7,3.7
2003-11-30,3.8,16,5,3.8,3.8,3.8,3.8
2003-12-01,3.8,16,5,3.8,3.8,3.8,3.8
2003-12-02,3.8,16,5,3.8,3.8,3.8,3.8
2003-12-03,3.9,16,5.1,3.9,3.9,3.9,3.9
2003-12-04,4,15,5.2,4,4,4,4
2003-12-05,4,15,5.2,4,4,4,4
2003-12-06,4.1,16,5.3,4.1,4.1,4.1,4.1
2003-12-07,4.5,20,5.8,4.5,4.5,4.5,4.5
2003-12-08,5.1,25,6.2,5.1,5.1,5.1,5.1
2003-12-09,5.1,25,6.2,5.1,5.1,5.1,5.1
2003-12-10,5.1,23,6.2,5.1,5.1,5.1,5.1
2003-12-11,5.2,25,6.4,5.2,5.2,5.2,5.2
2003-12-12,5.2,24,6.4,5.2,5.2,5.2,5.2
2003-12-13,5.4,25,6.6,5.4,5.4,5.4,5.4
2003-12-14,6,31,7.1,6,6,6,6
2003-12-15,6.5,34,7.5,6.5,6.5,6.5,6.5
2003-12-16,6.5,32,7.5,6.5,6.5,6.5,6.5
2003-12-17,6.6,31,7.6,6.6,6.6,6.6,6.6
2003-12-18,6.6,30,7.6,6.6,6.6,6.6,6.6
2003-12-19,6.7,29,7.7,6.7,6.7,6.7,6.7
2003-12-20,6.8,30,7.8,6.8,6.8,6.8,6.8
2003-12-21,6.8,28,7.9,6.8,6.8,6.8,6.8
2003-12-22,6.8,28,7.9,6.8,6.8,6.8,6.8
2003-12-23,6.8,27,7.9,6.8,6.8,6.8,6.8
2003-12-24,6.8,27,7.9,6.8,6.8,6.8,6.8
2003-12-25,6.9,27,7.9,6.9,6.9,6.9,6.9
2003-12-26,7,28,7.9,7,7,7,7
2003-12-27,7.3,32,8.2,7.3,7.3,7.3,7.3
2003-12-28,7.3,31,8.2,7.3,7.3,7.3,7.3
2003-12-29,7.4,32,8.3,7.4,7.4,7.4,7.4
2003-12-30,7.9,37,8.7,7.9,7.9,7.9,7.9
2003-12-31,7.9,36,8.8,7.9,7.9,7.9,7.9
2004-01-01,8.3,40,9.1,8.3,8.3,8.3,8.3
2004-01-02,8.9,49,9.7,8.9,8.9,8.9,8.9
2004-01-03,8.9,45,9.7,8.9,8.9,8.9,8.9
2004-01-04,8.9,43,9.7,8.9,8.9,8.9,8.9
2004-01-05,8.9,42,9.7,8.9,8.9,8.9,8.9
2004-01-06,8.9,40,9.7,8.9,8.9,8.9,8.9
2004-01-07,9.1,42,9.8,9.1,9.1,9.1,9.1
2004-01-08,9.4,44,10.2,9.4,9.4,9.4,9.4
2004-01-09,9.6,44,10.4,9.6,9.6,9.6,9.6
2004-01-10,9.6,41,10.4,9.6,9.6,9.6,9.6
2004-01-11,9.6,40,10.4,9.6,9.6,9.6,9.6
2004-01-12,9.6,39,10.4,9.6,9.6,9.6,9.6
2004-01-13,9.6,38,10.4,9.6,9.6,9.6,9.6
2004-01-14,9.6,37,10.4,9.6,9.6,9.6,9.6
2004-01-15,9.6,37,10.4,9.6,9.6,9.6,9.6
2004-01-16,9.6,36,10.4,9.6,9.6,9.6,9.6
2004-01-17,9.6,36,10.4,9.6,9.6,9.6,9.6
2004-01-18,9.6,36,10.4,9.6,9.6,9.6,9.6
2004-01-19,9.6,36,10.4,9.6,9.6,9.6,9.6
2004-01-20,9.6,35,10.4,9.6,9.6,9.6,9.6
2004-01-21,9.6,35,10.4,9.6,9.6,9.6,9.6
2004-01-22,9.6,35,10.4,9.6,9.6,9.6,9.6
2004-01-23,9.7,36,10.4,9.7,9.7,9.7,9.7
2004-01-24,9.9,38,10.7,9.9,9.9,9.9,9.9
2004-01-25,10.2,41,10.9,10.2,10.2,10.2,10.2
2004-01-26,10.4,44,11.1,10.4,10.4,10.4,10.4
2004-01-27,10.5,43,11.2,10.5,10.5,10.5,10.5
2004-01-28,10.6,43,11.4,10.6,10.6,10.6,10.6
2004-01-29,10.9,44,11.6,10.9,10.9,10.9,10.9
2004-01-30,11.1,42,11.8,11.1,11.1,11.1,11.1
2004-01-31,11.4,46,11.9,11.4,11.4,11.4,11.4
2004-02-01,11.4,45,11.9,11.4,11.4,11.4,11.4
2004-02-02,11.4,45,11.9,11.4,11.4,11.4,11.4
2004-02-03,11.5,44,12.1,11.5,11.5,11.5,11.5
2004-02-04,11.5,44,12.1,11.5,11.5,11.5,11.5
2004-02-05,11.5,43,12.1,11.5,11.5,11.5,11.5
2004-02-06,11.5,43,12.1,11.5,11.5,11.5,11.5
2004-02-07,11.5,43,12.1,11.5,11.5,11.5,11.5
2004-02-08,11.6,45,12.2,11.6,11.6,11.6,11.6
2004-02-09,11.6,44,12.2,11.6,11.6,11.6,11.6
2004-02-10,11.6,43,12.2,11.6,11.6,11.6,11.6
2004-02-11,11.8,45,12.4,11.8,11.8,11.8,11.8
2004-02-12,11.8,44,12.4,11.8,11.8,11.8,11.8
2004-02-13,11.9,44,12.5,11.9,11.9,11.9,11.9
2004-02-14,11.9,43,12.5,11.9,11.9,11.9,11.9
2004-02-15,11.9,43,12.5,11.9,11.9,11.9,11.9
2004-02-16,11.9,43,12.5,11.9,11.9,11.9,11.9
2004-02-17,12,43,12.6,12,12,12,12
2004-02-18,12.4,46,13,12.4,12.4,12.4,12.4
2004-02-19,13.4,56,14,13.4,13.4,13.4,13.4
2004-02-20,13.4,54,14,13.4,13.4,13.4,13.4
2004-02-21,13.4,52,14,13.4,13.4,13.4,13.4
2004-02-22,13.4,51,14,13.4,13.4,13.4,13.4
2004-02-23,13.4,50,14,13.4,13.4,13.4,13.4
2004-02-24,13.4,49,14,13.4,13.4,13.4,13.4
2004-02-25,13.5,50,14,13.5,13.5,13.5,13.5
2004-02-26,13.5,50,14,13.5,13.5,13.5,13.5
2004-02-27,13.8,53,14.4,13.8,13.8,13.8,13.8
2004-02-28,13.8,53,14.4,13.8,13.8,13.8,13.8
2004-02-29,13.9,52,14.5,13.9,13.9,13.9,13.9
2004-03-01,13.9,51,14.5,13.9,13.9,13.9,13.9
2004-03-02,13.9,50,14.5,13.9,13.9,13.9,13.9
2004-03-03,14.1,55,14.7,14.1,14.1,14.1,14.1
2004-03-04,14.2,54,14.7,14.2,14.2,14.2,14.2
2004-03-05,14.3,54,14.8,14.3,14.3,14.3,14.3
2004-03-06,14.7,59,15,14.7,14.7,14.7,14.7
2004-03-07,14.8,58,15.2,14.8,14.8,14.8,14.8
2004-03-08,15,56,15.4,15,15,15,15
2004-03-09,15.1,55,15.5,15.1,15.1,15.1,15.1
2004-03-10,15.1,54,15.5,15.1,15.1,15.1,15.1
2004-03-11,15.1,54,15.5,15.1,15.1,15.1,15.1
2004-03-12,15.1,53,15.5,15.1,15.1,15.1,15.1
2004-03-13,15.1,52,15.5,15.1,15.1,15.1,15.1
2004-03-14,15.1,52,15.5,15.1,15.1,15.1,15.1
2004-03-15,15.4,55,15.8,15.4,15.4,15.4,15.4
2004-03-16,15.8,59,16.2,15.8,15.8,15.8,15.8
2004-03-17,16.1,59,16.5,16.1,16.1,16.1,16.1
2004-03-18,16.2,58,16.6,16.2,16.2,16.2,16.2
2004-03-19,16.2,56,16.6,16.2,16.2,16.2,16.2
2004-03-20,16.2,56,16.6,16.2,16.2,16.2,16.2
2004-03-21,16.2,55,16.6,16.2,16.2,16.2,16.2
2004-03-22,16.2,53,16.6,16.2,16.2,16.2,16.2
2004-03-23,16.2,52,16.6,16.2,16.2,16.2,16.2
2004-03-24,16.1,51,16.6,16.1,16.1,16.1,16.1
2004-03-25,16.1,50,16.6,16.1,16.1,16.1,16.1
2004-03-26,16.1,50,16.6,16.1,16.1,16.1,16.1
2004-03-27,16.2,53,16.6,16.2,16.2,16.2,16.2
2004-03-28,16.2,53,16.7,16.2,16.2,16.2,16.2
2004-03-29,16.2,53,16.7,16.2,16.2,16.2,16.2
2004-03-30,16.3,51,16.8,16.3,16.3,16.3,16.3
2004-03-31,16.4,50,16.9,16.4,16.4,16.4,16.4
2004-04-01,16.2,49,16.9,16.2,16.2,16.2,16.2
2004-04-02,16.3,49,16.9,16.3,16.3,16.3,16.3
2004-04-03,16.4,50,16.9,16.4,16.4,16.4,16.4
2004-04-04,16.5,49,17,16.5,16.5,16.5,16.5
2004-04-05,16.4,48,17.1,16.4,16.4,16.4,16.4
2004-04-06,16.4,48,17.1,16.4,16.4,16.4,16.4
2004-04-07,16.4,46,17.1,16.4,16.4,16.4,16.4
2004-04-08,16.3,46,17.1,16.3,16.3,16.3,16.3
2004-04-09,16.4,47,17.2,16.4,16.4,16.4,16.4
2004-04-10,16.4,46,17.2,16.4,16.4,16.4,16.4
2004-04-11,16.4,46,17.3,16.4,16.4,16.4,16.4
2004-04-12,16.5,46,17.4,16.5,16.5,16.5,16.5
2004-04-13,16.5,45,17.4,16.5,16.5,16.5,16.5
2004-04-14,16.4,44,17.4,16.4,16.4,16.4,16.4
2004-04-15,16.3,43,17.4,16.3,16.3,16.3,16.3
2004-04-16,16.3,43,17.4,16.3,16.3,16.3,16.3
2004-04-17,16.1,43,17.4,16.1,16.1,16.1,16.1
2004-04-18,16.4,45,17.7,16.4,16.4,16.4,16.4
2004-04-19,16.6,47,17.9,16.6,16.6,16.6,16.6
2004-04-20,16.9,48,18.2,16.9,16.9,16.9,16.9
2004-04-21,17.3,53,18.5,17.3,17.3,17.3,17.3
2004-04-22,17.2,52,18.5,17.2,17.2,17.2,17.2
2004-04-23,17.3,49,18.6,17.3,17.3,17.3,17.3
2004-04-24,17.2,48,18.7,17.2,17.2,17.2,17.2
2004-04-25,17.2,48,18.7,17.2,17.2,17.2,17.2
2004-04-26,17,47,18.7,17,17,17,17
2004-04-27,16.9,45,18.7,16.9,16.9,16.9,16.9
2004-04-28,16.7,43,18.8,16.7,16.7,16.7,16.7
2004-04-29,16.6,42,18.8,16.6,16.6,16.6,16.6
2004-04-30,17.1,44,18.8,17.1,17.1,17.1,17.1
2004-05-01,16.7,43,19,16.7,16.7,16.7,16.7
2004-05-02,16.4,42,19,16.4,16.4,16.4,16.4
2004-05-03,15.9,40,19.1,15.9,15.9,15.9,15.9
2004-05-04,15.5,38,19.1,15.5,15.5,15.5,15.5
2004-05-05,14.9,37,19.2,14.9,14.9,14.9,14.9
2004-05-06,14.1,35,19.2,14.1,14.1,14.1,14.1
2004-05-07,13.4,33,19.2,13.4,13.4,13.4,13.4
2004-05-08,12.9,32,19.2,12.9,12.9,12.9,12.9
2004-05-09,12.4,31,19.2,12.4,12.4,12.4,12.4
2004-05-10,12,30,19.2,12,12,12,12
2004-05-11,11.4,28,19.2,11.4,11.4,11.4,11.4
2004-05-12,11.5,31,19.2,11.5,11.5,11.5,11.5
2004-05-13,11.5,31,19.2,11.5,11.5,11.5,11.5
2004-05-14,11.7,30,19.3,11.7,11.7,11.7,11.7
2004-05-15,11.6,29,19.4,11.6,11.6,11.6,11.6
2004-05-16,11.3,26,19.4,11.3,11.3,11.3,11.3
2004-05-17,11.6,29,20,11.6,11.6,11.6,11.6
2004-05-18,11.3,27,20.1,11.3,11.3,11.3,11.3
2004-05-19,11.1,27,20.6,11.1,11.1,11.1,11.1
2004-05-20,11,27,20.6,11,11,11,11
2004-05-21,10.5,25,20.7,10.5,10.5,10.5,10.5
2004-05-22,10,23,20.9,10,10,10,10
2004-05-23,10.4,25,21.4,10.4,10.4,10.4,10.4
2004-05-24,10.8,30,21.8,10.8,10.8,10.8,10.8
2004-05-25,10.7,30,21.8,10.7,10.7,10.7,10.7
2004-05-26,10.8,28,21.9,10.8,10.8,10.8,10.8
2004-05-27,11,28,22.1,11,11,11,11
2004-05-28,10.7,26,22.4,10.7,10.7,10.7,10.7
2004-05-29,10.3,23,22.9,10.3,10.3,10.3,10.3
2004-05-30,10.4,27,23.1,10.4,10.4,10.4,10.4
2004-05-31,10.5,26,23.2,10.5,10.5,10.5,10.5
2004-06-01,10.5,25,23.3,10.5,10.5,10.5,10.5
2004-06-02,9.6,23,23.3,9.6,9.6,9.6,9.6
2004-06-03,8.7,21,23.3,8.7,8.7,8.7,8.7
2004-06-04,7.7,18,23.4,7.7,7.7,7.7,7.7
2004-06-05,6.7,16,23.5,6.7,6.7,6.7,6.7
2004-06-06,5.4,13,23.6,5.4,5.4,5.4,5.4
2004-06-07,3.9,9,23.6,3.9,3.9,3.9,3.9
2004-06-08,2.4,6,23.7,2.4,2.4,2.4,2.4
