"DateTime","WTEQ","SNWD","PREC","TAVG","RHUM","WSPDV","SWINV"
2003-10-01,0,0,0,0,0,0,0
2003-10-02,0,0,0,0,0,0,0
2003-10-03,0,0,0,0,0,0,0
2003-10-04,0,0,0,0,0,0,0
2003-10-05,0,0,0,0,0,0,0
2003-10-06,0,0,0,0,0,0,0
2003-10-07,0,0,0.1,0,0,0,0
2003-10-08,0,0,0.1,0,0,0,0
2003-10-09,0,0,0.1,0,0,0,0
2003-10-10,0,0,0.2,0,0,0,0
2003-10-11,0.6,5,0.8,0.6,0.6,0.6,0.6
2003-10-12,0.7,4,0.9,0.7,0.7,0.7,0.7
2003-10-13,0.7,4,1,0.7,0.7,0.7,0.7
2003-10-14,0.7,3,1.1,0.7,0.7,0.7,0.7
2003-10-15,0.8,4,1.1,0.8,0.8,0.8,0.8
2003-10-16,1.1,8,1.4,1.1,1.1,1.1,1.1
2003-10-17,1.2,6,1.5,1.2,1.2,1.2,1.2
2003-10-18,1,4,1.5,1,1,1,1
2003-10-19,0.9,2,1.5,0.9,0.9,0.9,0.9
2003-10-20,0.7,2,1.5,0.7,0.7,0.7,0.7
2003-10-21,0.5,1,1.5,0.5,0.5,0.5,0.5
2003-10-22,0,0,1.5,0,0,0,0
2003-10-23,0,0,1.5,0,0,0,0
2003-10-24,0,0,1.5,0,0,0,0
2003-10-25,0,0,1.5,0,0,0,0
2003-10-26,0,0,1.5,0,0,0,0
2003-10-27,0,0,1.5,0,0,0,0
2003-10-28,0,0,1.5,0,0,0,0
2003-10-29,0,0,1.9,0,0,0,0
2003-10-30,0.9,5,2.9,0.9,0.9,0.9,0.9
2003-10-31,1.6,11,3.6,1.6,1.6,1.6,1.6
2003-11-01,1.6,10,3.7,1.6,1.6,1.6,1.6
2003-11-02,1.7,9,3.8,1.7,1.7,1.7,1.7
2003-11-03,1.9,9,3.8,1.9,1.9,1.9,1.9
2003-11-04,2.2,13,4,2.2,2.2,2.2,2.2
2003-11-05,2.2,12,4.2,2.2,2.2,2.2,2.2
2003-11-06,2.2,12,4.2,2.2,2.2,2.2,2.2
2003-11-07,2.2,11,4.3,2.2,2.2,2.2,2.2
2003-11-08,2.2,11,4.3,2.2,2.2,2.2,2.2
2003-11-09,2.4,11,4.3,2.4,2.4,2.4,2.4
2003-11-10,2.5,12,4.3,2.5,2.5,2.5,2.5
2003-11-11,2.5,11,4.3,2.5,2.5,2.5,2.5
2003-11-12,3.1,17,5,3.1,3.1,3.1,3.1
2003-11-13,3.2,16,5.1,3.2,3.2,3.2,3.2
2003-11-14,3.2,15,5.1,3.2,3.2,3.2,3.2
2003-11-15,3.2,14,5.1,3.2,3.2,3.2,3.2
2003-11-16,3.2,14,5.1,3.2,3.2,3.2,3.2
2003-11-17,3.3,14,5.2,3.3,3.3,3.3,3.3
2003-11-18,3.4,16,5.4,3.4,3.4,3.4,3.4
2003-11-19,3.5,15,5.4,3.5,3.5,3.5,3.5
2003-11-20,3.6,13,5.4,3.6,3.6,3.6,3.6
2003-11-21,3.9,22,6.1,3.9,3.9,3.9,3.9
2003-11-22,3.9,21,6.1,3.9,3.9,3.9,3.9
2003-11-23,3.9,20,6.2,3.9,3.9,3.9,3.9
2003-11-24,4,20,6.2,4,4,4,4
2003-11-25,4.3,22,6.4,4.3,4.3,4.3,4.3
2003-11-26,4.4,21,6.5,4.4,4.4,4.4,4.4
2003-11-27,4.6,22,6.7,4.6,4.6,4.6,4.6
2003-11-28,4.6,22,6.7,4.6,4.6,4.6,4.6
2003-11-29,4.7,21,6.8,4.7,4.7,4.7,4.7
2003-11-30,4.8,21,6.8,4.8,4.8,4.8,4.8
2003-12-01,4.8,20,6.8,4.8,4.8,4.8,4.8
2003-12-02,4.8,20,6.8,4.8,4.8,4.8,4.8
2003-12-03,4.8,20,6.9,4.8,4.8,4.8,4.8
2003-12-04,5,22,7.1,5,5,5,5
2003-12-05,5,22,7.1,5,5,5,5
2003-12-06,5.1,22,7.1,5.1,5.1,5.1,5.1
2003-12-07,5.1,21,7.2,5.1,5.1,5.1,5.1
2003-12-08,5.5,26,7.5,5.5,5.5,5.5,5.5
2003-12-09,5.5,24,7.6,5.5,5.5,5.5,5.5
2003-12-10,5.6,27,7.7,5.6,5.6,5.6,5.6
2003-12-11,5.7,26,7.8,5.7,5.7,5.7,5.7
2003-12-12,5.7,26,7.8,5.7,5.7,5.7,5.7
2003-12-13,5.8,25,7.9,5.8,5.8,5.8,5.8
2003-12-14,6.3,31,8.4,6.3,6.3,6.3,6.3
2003-12-15,6.5,37,8.8,6.5,6.5,6.5,6.5
2003-12-16,6.5,34,8.9,6.5,6.5,6.5,6.5
2003-12-17,6.6,32,9,6.6,6.6,6.6,6.6
2003-12-18,6.6,31,9,6.6,6.6,6.6,6.6
2003-12-19,6.6,30,9,6.6,6.6,6.6,6.6
2003-12-20,6.7,30,9,6.7,6.7,6.7,6.7
2003-12-21,6.7,29,9,6.7,6.7,6.7,6.7
2003-12-22,6.7,28,9,6.7,6.7,6.7,6.7
2003-12-23,6.7,28,9,6.7,6.7,6.7,6.7
2003-12-24,6.9,28,9,6.9,6.9,6.9,6.9
2003-12-25,6.9,28,9,6.9,6.9,6.9,6.9
2003-12-26,6.9,28,9.1,6.9,6.9,6.9,6.9
2003-12-27,7.8,41,10,7.8,7.8,7.8,7.8
2003-12-28,8,41,10.3,8,8,8,8
2003-12-29,8.1,40,10.4,8.1,8.1,8.1,8.1
2003-12-30,8.6,43,10.7,8.6,8.6,8.6,8.6
2003-12-31,8.6,41,10.9,8.6,8.6,8.6,8.6
2004-01-01,8.8,40,11,8.8,8.8,8.8,8.8
2004-01-02,9,41,11.3,9,9,9,9
2004-01-03,9,41,11.3,9,9,9,9
2004-01-04,9,40,11.3,9,9,9,9
2004-01-05,9.1,40,11.4,9.1,9.1,9.1,9.1
2004-01-06,9.1,40,11.4,9.1,9.1,9.1,9.1
2004-01-07,9.2,39,11.5,9.2,9.2,9.2,9.2
2004-01-08,9.3,38,11.5,9.3,9.3,9.3,9.3
2004-01-09,9.3,38,11.6,9.3,9.3,9.3,9.3
2004-01-10,9.4,38,11.6,9.4,9.4,9.4,9.4
2004-01-11,9.4,38,11.6,9.4,9.4,9.4,9.4
2004-01-12,9.4,37,11.6,9.4,9.4,9.4,9.4
2004-01-13,9.3,37,11.6,9.3,9.3,9.3,9.3
2004-01-14,9.3,36,11.6,9.3,9.3,9.3,9.3
2004-01-15,9.3,36,11.6,9.3,9.3,9.3,9.3
2004-01-16,9.3,36,11.6,9.3,9.3,9.3,9.3
2004-01-17,9.3,36,11.6,9.3,9.3,9.3,9.3
2004-01-18,9.3,35,11.6,9.3,9.3,9.3,9.3
2004-01-19,9.3,35,11.6,9.3,9.3,9.3,9.3
2004-01-20,9.4,37,11.7,9.4,9.4,9.4,9.4
2004-01-21,9.4,37,11.7,9.4,9.4,9.4,9.4
2004-01-22,9.4,36,11.7,9.4,9.4,9.4,9.4
2004-01-23,9.5,37,11.7,9.5,9.5,9.5,9.5
2004-01-24,9.6,35,11.8,9.6,9.6,9.6,9.6
2004-01-25,9.7,38,11.9,9.7,9.7,9.7,9.7
2004-01-26,10,42,12.3,10,10,10,10
2004-01-27,10,42,12.4,10,10,10,10
2004-01-28,10.1,40,12.4,10.1,10.1,10.1,10.1
2004-01-29,10.2,41,12.5,10.2,10.2,10.2,10.2
2004-01-30,10.3,41,12.6,10.3,10.3,10.3,10.3
2004-01-31,10.4,42,12.7,10.4,10.4,10.4,10.4
2004-02-01,10.4,42,12.8,10.4,10.4,10.4,10.4
2004-02-02,10.4,41,12.8,10.4,10.4,10.4,10.4
2004-02-03,10.5,41,12.8,10.5,10.5,10.5,10.5
2004-02-04,10.5,41,12.8,10.5,10.5,10.5,10.5
2004-02-05,10.5,40,12.8,10.5,10.5,10.5,10.5
2004-02-06,10.6,42,12.9,10.6,10.6,10.6,10.6
2004-02-07,10.6,41,12.9,10.6,10.6,10.6,10.6
2004-02-08,10.7,42,13,10.7,10.7,10.7,10.7
2004-02-09,10.8,44,13.2,10.8,10.8,10.8,10.8
2004-02-10,10.8,44,13.2,10.8,10.8,10.8,10.8
2004-02-11,10.9,45,13.3,10.9,10.9,10.9,10.9
2004-02-12,10.9,44,13.3,10.9,10.9,10.9,10.9
2004-02-13,11,44,13.4,11,11,11,11
2004-02-14,11,43,13.4,11,11,11,11
2004-02-15,11,43,13.5,11,11,11,11
2004-02-16,11,42,13.5,11,11,11,11
2004-02-17,11.1,42,13.5,11.1,11.1,11.1,11.1
2004-02-18,11.2,42,13.5,11.2,11.2,11.2,11.2
2004-02-19,11.5,45,13.8,11.5,11.5,11.5,11.5
2004-02-20,11.4,45,13.8,11.4,11.4,11.4,11.4
2004-02-21,11.4,45,13.8,11.4,11.4,11.4,11.4
2004-02-22,11.4,44,13.9,11.4,11.4,11.4,11.4
2004-02-23,11.4,44,13.9,11.4,11.4,11.4,11.4
2004-02-24,11.4,44,13.9,11.4,11.4,11.4,11.4
2004-02-25,11.5,43,13.9,11.5,11.5,11.5,11.5
2004-02-26,11.5,43,13.9,11.5,11.5,11.5,11.5
2004-02-27,11.7,45,14,11.7,11.7,11.7,11.7
2004-02-28,11.7,44,14.2,11.7,11.7,11.7,11.7
2004-02-29,13.2,71,15.6,13.2,13.2,13.2,13.2
2004-03-01,13.5,73,15.9,13.5,13.5,13.5,13.5
2004-03-02,13.6,71,16.1,13.6,13.6,13.6,13.6
2004-03-03,13.8,70,16.3,13.8,13.8,13.8,13.8
2004-03-04,14,67,16.4,14,14,14,14
2004-03-05,14.1,65,16.5,14.1,14.1,14.1,14.1
2004-03-06,14.3,65,16.6,14.3,14.3,14.3,14.3
2004-03-07,14.4,65,16.9,14.4,14.4,14.4,14.4
2004-03-08,14.6,62,17,14.6,14.6,14.6,14.6
2004-03-09,14.6,59,17,14.6,14.6,14.6,14.6
2004-03-10,14.7,57,17.1,14.7,14.7,14.7,14.7
2004-03-11,14.6,57,17.1,14.6,14.6,14.6,14.6
2004-03-12,14.6,55,17.1,14.6,14.6,14.6,14.6
2004-03-13,14.7,55,17.2,14.7,14.7,14.7,14.7
2004-03-14,14.6,55,17.2,14.6,14.6,14.6,14.6
2004-03-15,14.9,58,17.4,14.9,14.9,14.9,14.9
2004-03-16,15.2,58,17.7,15.2,15.2,15.2,15.2
2004-03-17,15.3,58,17.8,15.3,15.3,15.3,15.3
2004-03-18,15.4,57,17.9,15.4,15.4,15.4,15.4
2004-03-19,15.4,55,18,15.4,15.4,15.4,15.4
2004-03-20,15.4,54,18,15.4,15.4,15.4,15.4
2004-03-21,15.4,53,18,15.4,15.4,15.4,15.4
2004-03-22,15.4,52,18,15.4,15.4,15.4,15.4
2004-03-23,15.4,51,18,15.4,15.4,15.4,15.4
2004-03-24,15.4,50,18,15.4,15.4,15.4,15.4
2004-03-25,15,48,18,15,15,15,15
2004-03-26,15,48,18,15,15,15,15
2004-03-27,15,48,18,15,15,15,15
2004-03-28,15,48,18.1,15,15,15,15
2004-03-29,15.1,48,18.2,15.1,15.1,15.1,15.1
2004-03-30,15,47,18.2,15,15,15,15
2004-03-31,14.8,46,18.2,14.8,14.8,14.8,14.8
2004-04-01,14.5,44,18.2,14.5,14.5,14.5,14.5
2004-04-02,14.4,43,18.3,14.4,14.4,14.4,14.4
2004-04-03,14.3,44,18.4,14.3,14.3,14.3,14.3
2004-04-04,14.3,42,18.4,14.3,14.3,14.3,14.3
2004-04-05,14.3,41,18.5,14.3,14.3,14.3,14.3
2004-04-06,14.1,39,18.5,14.1,14.1,14.1,14.1
2004-04-07,14,39,18.5,14,14,14,14
2004-04-08,13.9,37,18.6,13.9,13.9,13.9,13.9
2004-04-09,14.1,42,18.8,14.1,14.1,14.1,14.1
2004-04-10,14.5,49,19.4,14.5,14.5,14.5,14.5
2004-04-11,14.6,43,19.5,14.6,14.6,14.6,14.6
2004-04-12,14.6,41,19.6,14.6,14.6,14.6,14.6
2004-04-13,14.5,39,19.6,14.5,14.5,14.5,14.5
2004-04-14,14.4,38,19.6,14.4,14.4,14.4,14.4
2004-04-15,14.3,37,19.6,14.3,14.3,14.3,14.3
2004-04-16,14.2,37,19.6,14.2,14.2,14.2,14.2
2004-04-17,14.1,36,19.6,14.1,14.1,14.1,14.1
2004-04-18,14,36,19.7,14,14,14,14
2004-04-19,14.2,37,19.9,14.2,14.2,14.2,14.2
2004-04-20,14.4,39,20,14.4,14.4,14.4,14.4
2004-04-21,14.3,36,20.1,14.3,14.3,14.3,14.3
2004-04-22,14.6,39,20.2,14.6,14.6,14.6,14.6
2004-04-23,14.6,38,20.3,14.6,14.6,14.6,14.6
2004-04-24,14.5,37,20.4,14.5,14.5,14.5,14.5
2004-04-25,14.4,37,20.4,14.4,14.4,14.4,14.4
2004-04-26,14.3,36,20.4,14.3,14.3,14.3,14.3
2004-04-27,13.9,33,20.4,13.9,13.9,13.9,13.9
2004-04-28,13.1,32,20.4,13.1,13.1,13.1,13.1
2004-04-29,13.5,42,20.9,13.5,13.5,13.5,13.5
2004-04-30,13.6,36,21.1,13.6,13.6,13.6,13.6
2004-05-01,13.6,35,21.1,13.6,13.6,13.6,13.6
2004-05-02,13.6,33,21.1,13.6,13.6,13.6,13.6
2004-05-03,12.9,30,21.1,12.9,12.9,12.9,12.9
2004-05-04,12.2,29,21.1,12.2,12.2,12.2,12.2
2004-05-05,11.3,27,21.1,11.3,11.3,11.3,11.3
2004-05-06,10.2,25,21.1,10.2,10.2,10.2,10.2
2004-05-07,9.3,23,21.1,9.3,9.3,9.3,9.3
2004-05-08,8.7,22,21.1,8.7,8.7,8.7,8.7
2004-05-09,7.9,20,21.1,7.9,7.9,7.9,7.9
2004-05-10,7,17,21.1,7,7,7,7
2004-05-11,6.4,17,21.1,6.4,6.4,6.4,6.4
2004-05-12,6.4,17,21.3,6.4,6.4,6.4,6.4
2004-05-13,6.4,17,21.4,6.4,6.4,6.4,6.4
2004-05-14,6.3,16,21.4,6.3,6.3,6.3,6.3
2004-05-15,6.2,16,21.4,6.2,6.2,6.2,6.2
2004-05-16,6,15,21.5,6,6,6,6
2004-05-17,6.1,18,21.8,6.1,6.1,6.1,6.1
2004-05-18,6,16,21.9,6,6,6,6
2004-05-19,5.7,14,22.2,5.7,5.7,5.7,5.7
2004-05-20,5.5,13,22.3,5.5,5.5,5.5,5.5
2004-05-21,5.1,13,22.4,5.1,5.1,5.1,5.1
2004-05-22,4.5,11,22.5,4.5,4.5,4.5,4.5
2004-05-23,4.3,11,22.8,4.3,4.3,4.3,4.3
2004-05-24,4.6,15,23.2,4.6,4.6,4.6,4.6
2004-05-25,4.6,14,23.3,4.6,4.6,4.6,4.6
2004-05-26,4.5,11,23.3,4.5,4.5,4.5,4.5
2004-05-27,4.1,10,23.3,4.1,4.1,4.1,4.1
2004-05-28,3.1,7,23.4,3.1,3.1,3.1,3.1
2004-05-29,2,4,23.5,2,2,2,2
2004-05-30,2.1,7,23.7,2.1,2.1,2.1,2.1
2004-05-31,1.9,4,23.8,1.9,1.9,1.9,1.9
2004-06-01,1.2,2,23.8,1.2,1.2,1.2,1.2
2004-06-02,0.5,1,23.8,0.5,0.5,0.5,0.5
2004-06-03,0,0,23.8,0,0,0,0
2004-06-04,0,0,23.8,0,0,0,0
2004-06-05,0,0,23.9,0,0,0,0
2004-06-06,0,0,23.9,0,0,0,0
2004-06-07,0,0,24,0,0,0,0
2004-06-08,0,0,24.1,0,0,0,0
2004-06-09,0,0,24.2,0,0,0,0
2004-06-10,0,0,24.8,0,0,0,0
2004-06-11,0.6,3,25.9,0.6,0.6,0.6,0.6
2004-06-12,0.3,1,26.2,0.3,0.3,0.3,0.3
2004-06-13,0,0,26.4,0,0,0,0
2004-06-14,0,0,26.4,0,0,0,0
