"DateTime","WTEQ","SNWD","PREC","TAVG","RHUM","WSPDV","SWINV"
2003-10-01,0,0,0,0,0,0,0
2003-10-02,0,0,0,0,0,0,0
2003-10-03,0,0,0,0,0,0,0
2003-10-04,0,0,0.1,0,0,0,0
2003-10-05,0,0,0.1,0,0,0,0
2003-10-06,0,0,0.1,0,0,0,0
2003-10-07,0,0,0.1,0,0,0,0
2003-10-08,0,0,0.2,0,0,0,0
2003-10-09,0,0,0.3,0,0,0,0
2003-10-10,0,0,0.4,0,0,0,0
2003-10-11,0.7,6,0.9,0.7,0.7,0.7,0.7
2003-10-12,0.8,5,1.1,0.8,0.8,0.8,0.8
2003-10-13,1,5,1.3,1,1,1,1
2003-10-14,1,5,1.3,1,1,1,1
2003-10-15,1,5,1.3,1,1,1,1
2003-10-16,1.3,7,1.6,1.3,1.3,1.3,1.3
2003-10-17,1.3,6,1.7,1.3,1.3,1.3,1.3
2003-10-18,1.2,4,1.7,1.2,1.2,1.2,1.2
2003-10-19,1,3,1.7,1,1,1,1
2003-10-20,0.9,2,1.7,0.9,0.9,0.9,0.9
2003-10-21,0.7,1,1.7,0.7,0.7,0.7,0.7
2003-10-22,0.3,1,1.7,0.3,0.3,0.3,0.3
2003-10-23,0,0,1.7,0,0,0,0
2003-10-24,0,0,1.7,0,0,0,0
2003-10-25,0,0,1.7,0,0,0,0
2003-10-26,0,0,1.7,0,0,0,0
2003-10-27,0,0,1.7,0,0,0,0
2003-10-28,0,0,1.8,0,0,0,0
2003-10-29,0,0,3.2,0,0,0,0
2003-10-30,1,4,3.9,1,1,1,1
2003-10-31,1.1,5,3.9,1.1,1.1,1.1,1.1
2003-11-01,1.1,5,3.9,1.1,1.1,1.1,1.1
2003-11-02,1,5,4.1,1,1,1,1
2003-11-03,0.8,5,4.2,0.8,0.8,0.8,0.8
2003-11-04,1.1,9,4.5,1.1,1.1,1.1,1.1
2003-11-05,1.3,8,4.5,1.3,1.3,1.3,1.3
2003-11-06,1.3,8,4.5,1.3,1.3,1.3,1.3
2003-11-07,1.3,7,4.5,1.3,1.3,1.3,1.3
2003-11-08,1.4,7,4.5,1.4,1.4,1.4,1.4
2003-11-09,1.5,7,4.7,1.5,1.5,1.5,1.5
2003-11-10,1.7,8,4.9,1.7,1.7,1.7,1.7
2003-11-11,2.1,12,5.2,2.1,2.1,2.1,2.1
2003-11-12,2.7,17,5.6,2.7,2.7,2.7,2.7
2003-11-13,2.8,16,5.8,2.8,2.8,2.8,2.8
2003-11-14,3,15,5.9,3,3,3,3
2003-11-15,3,14,5.9,3,3,3,3
2003-11-16,3,13,5.9,3,3,3,3
2003-11-17,3.2,17,6.1,3.2,3.2,3.2,3.2
2003-11-18,3.5,19,6.2,3.5,3.5,3.5,3.5
2003-11-19,3.6,17,6.5,3.6,3.6,3.6,3.6
2003-11-20,3.7,16,6.6,3.7,3.7,3.7,3.7
2003-11-21,3.9,18,6.6,3.9,3.9,3.9,3.9
2003-11-22,4,19,6.6,4,4,4,4
2003-11-23,4,18,6.6,4,4,4,4
2003-11-24,4.1,18,6.6,4.1,4.1,4.1,4.1
2003-11-25,4.3,21,6.8,4.3,4.3,4.3,4.3
2003-11-26,4.4,21,7,4.4,4.4,4.4,4.4
2003-11-27,4.5,21,7.1,4.5,4.5,4.5,4.5
2003-11-28,4.5,21,7.1,4.5,4.5,4.5,4.5
2003-11-29,4.6,20,7.3,4.6,4.6,4.6,4.6
2003-11-30,4.8,20,7.5,4.8,4.8,4.8,4.8
2003-12-01,4.8,20,7.5,4.8,4.8,4.8,4.8
2003-12-02,4.8,20,7.5,4.8,4.8,4.8,4.8
2003-12-03,4.9,20,7.6,4.9,4.9,4.9,4.9
2003-12-04,5.1,21,7.8,5.1,5.1,5.1,5.1
2003-12-05,5.1,21,7.8,5.1,5.1,5.1,5.1
2003-12-06,5.2,21,7.9,5.2,5.2,5.2,5.2
2003-12-07,5.5,23,8.2,5.5,5.5,5.5,5.5
2003-12-08,6,29,8.5,6,6,6,6
2003-12-09,6,27,8.5,6,6,6,6
2003-12-10,6,26,8.5,6,6,6,6
2003-12-11,6.2,28,8.6,6.2,6.2,6.2,6.2
2003-12-12,6.2,27,8.6,6.2,6.2,6.2,6.2
2003-12-13,6.3,29,8.8,6.3,6.3,6.3,6.3
2003-12-14,7.1,38,9.6,7.1,7.1,7.1,7.1
2003-12-15,7.3,37,9.6,7.3,7.3,7.3,7.3
2003-12-16,7.3,35,9.6,7.3,7.3,7.3,7.3
2003-12-17,7.4,34,9.6,7.4,7.4,7.4,7.4
2003-12-18,7.4,33,9.6,7.4,7.4,7.4,7.4
2003-12-19,7.4,32,9.6,7.4,7.4,7.4,7.4
2003-12-20,7.5,31,9.8,7.5,7.5,7.5,7.5
2003-12-21,7.6,32,10,7.6,7.6,7.6,7.6
2003-12-22,7.6,30,10,7.6,7.6,7.6,7.6
2003-12-23,7.6,29,10,7.6,7.6,7.6,7.6
2003-12-24,7.6,28,10.1,7.6,7.6,7.6,7.6
2003-12-25,7.6,28,10.1,7.6,7.6,7.6,7.6
2003-12-26,7.6,28,10.1,7.6,7.6,7.6,7.6
2003-12-27,7.9,31,10.1,7.9,7.9,7.9,7.9
2003-12-28,8,32,10.1,8,8,8,8
2003-12-29,8.1,32,10.2,8.1,8.1,8.1,8.1
2003-12-30,8.9,40,11,8.9,8.9,8.9,8.9
2003-12-31,9.1,39,11.1,9.1,9.1,9.1,9.1
2004-01-01,9.3,41,11.3,9.3,9.3,9.3,9.3
2004-01-02,9.8,47,11.8,9.8,9.8,9.8,9.8
2004-01-03,9.9,46,11.8,9.9,9.9,9.9,9.9
2004-01-04,9.9,45,11.8,9.9,9.9,9.9,9.9
2004-01-05,9.9,44,11.8,9.9,9.9,9.9,9.9
2004-01-06,9.9,43,11.8,9.9,9.9,9.9,9.9
2004-01-07,10.3,41,12,10.3,10.3,10.3,10.3
2004-01-08,10.5,44,12.3,10.5,10.5,10.5,10.5
2004-01-09,10.6,45,12.4,10.6,10.6,10.6,10.6
2004-01-10,10.6,43,12.4,10.6,10.6,10.6,10.6
2004-01-11,10.6,42,12.4,10.6,10.6,10.6,10.6
2004-01-12,10.6,41,12.4,10.6,10.6,10.6,10.6
2004-01-13,10.6,40,12.4,10.6,10.6,10.6,10.6
2004-01-14,10.6,40,12.4,10.6,10.6,10.6,10.6
2004-01-15,10.6,39,12.4,10.6,10.6,10.6,10.6
2004-01-16,10.6,39,12.4,10.6,10.6,10.6,10.6
2004-01-17,10.6,38,12.4,10.6,10.6,10.6,10.6
2004-01-18,10.6,38,12.4,10.6,10.6,10.6,10.6
2004-01-19,10.6,38,12.4,10.6,10.6,10.6,10.6
2004-01-20,10.7,38,12.4,10.7,10.7,10.7,10.7
2004-01-21,10.7,38,12.4,10.7,10.7,10.7,10.7
2004-01-22,10.7,38,12.4,10.7,10.7,10.7,10.7
2004-01-23,10.7,38,12.4,10.7,10.7,10.7,10.7
2004-01-24,10.9,40,12.7,10.9,10.9,10.9,10.9
2004-01-25,11.2,44,13,11.2,11.2,11.2,11.2
2004-01-26,11.5,46,13,11.5,11.5,11.5,11.5
2004-01-27,11.5,46,13.1,11.5,11.5,11.5,11.5
2004-01-28,11.7,46,13.3,11.7,11.7,11.7,11.7
2004-01-29,12.1,51,13.7,12.1,12.1,12.1,12.1
2004-01-30,12.6,53,14.1,12.6,12.6,12.6,12.6
2004-01-31,12.9,54,14.3,12.9,12.9,12.9,12.9
2004-02-01,13,53,14.3,13,13,13,13
2004-02-02,13,52,14.3,13,13,13,13
2004-02-03,13.1,50,14.4,13.1,13.1,13.1,13.1
2004-02-04,13.1,50,14.4,13.1,13.1,13.1,13.1
2004-02-05,13.2,49,14.5,13.2,13.2,13.2,13.2
2004-02-06,13.2,48,14.5,13.2,13.2,13.2,13.2
2004-02-07,13.2,48,14.5,13.2,13.2,13.2,13.2
2004-02-08,13.2,48,14.6,13.2,13.2,13.2,13.2
2004-02-09,13.3,48,14.6,13.3,13.3,13.3,13.3
2004-02-10,13.3,47,14.6,13.3,13.3,13.3,13.3
2004-02-11,13.4,48,14.7,13.4,13.4,13.4,13.4
2004-02-12,13.4,48,14.7,13.4,13.4,13.4,13.4
2004-02-13,13.4,47,14.7,13.4,13.4,13.4,13.4
2004-02-14,13.4,47,14.7,13.4,13.4,13.4,13.4
2004-02-15,13.4,47,14.8,13.4,13.4,13.4,13.4
2004-02-16,13.5,47,14.8,13.5,13.5,13.5,13.5
2004-02-17,13.6,49,15,13.6,13.6,13.6,13.6
2004-02-18,14.3,53,15.7,14.3,14.3,14.3,14.3
2004-02-19,14.9,58,16.3,14.9,14.9,14.9,14.9
2004-02-20,14.9,56,16.3,14.9,14.9,14.9,14.9
2004-02-21,14.9,56,16.3,14.9,14.9,14.9,14.9
2004-02-22,14.9,55,16.3,14.9,14.9,14.9,14.9
2004-02-23,14.9,55,16.3,14.9,14.9,14.9,14.9
2004-02-24,14.9,53,16.3,14.9,14.9,14.9,14.9
2004-02-25,15,53,16.3,15,15,15,15
2004-02-26,15,53,16.3,15,15,15,15
2004-02-27,15.3,57,16.6,15.3,15.3,15.3,15.3
2004-02-28,15.5,58,16.7,15.5,15.5,15.5,15.5
2004-02-29,15.5,57,16.7,15.5,15.5,15.5,15.5
2004-03-01,15.5,56,16.7,15.5,15.5,15.5,15.5
2004-03-02,15.5,56,16.7,15.5,15.5,15.5,15.5
2004-03-03,15.5,55,16.7,15.5,15.5,15.5,15.5
2004-03-04,15.6,56,16.8,15.6,15.6,15.6,15.6
2004-03-05,15.8,58,16.9,15.8,15.8,15.8,15.8
2004-03-06,16,59,17,16,16,16,16
2004-03-07,16.1,59,17,16.1,16.1,16.1,16.1
2004-03-08,16.1,57,17.2,16.1,16.1,16.1,16.1
2004-03-09,16.1,56,17.2,16.1,16.1,16.1,16.1
2004-03-10,16.2,56,17.3,16.2,16.2,16.2,16.2
2004-03-11,16.2,55,17.3,16.2,16.2,16.2,16.2
2004-03-12,16.2,55,17.3,16.2,16.2,16.2,16.2
2004-03-13,16.2,54,17.3,16.2,16.2,16.2,16.2
2004-03-14,16.2,54,17.3,16.2,16.2,16.2,16.2
2004-03-15,16.6,60,17.7,16.6,16.6,16.6,16.6
2004-03-16,16.8,60,17.9,16.8,16.8,16.8,16.8
2004-03-17,17.5,64,18.5,17.5,17.5,17.5,17.5
2004-03-18,17.7,64,18.8,17.7,17.7,17.7,17.7
2004-03-19,17.7,62,18.8,17.7,17.7,17.7,17.7
2004-03-20,17.7,60,18.8,17.7,17.7,17.7,17.7
2004-03-21,17.7,59,18.8,17.7,17.7,17.7,17.7
2004-03-22,17.7,59,18.8,17.7,17.7,17.7,17.7
2004-03-23,17.7,57,18.8,17.7,17.7,17.7,17.7
2004-03-24,17.7,57,18.8,17.7,17.7,17.7,17.7
2004-03-25,17.6,56,18.8,17.6,17.6,17.6,17.6
2004-03-26,17.6,56,18.8,17.6,17.6,17.6,17.6
2004-03-27,17.7,57,18.8,17.7,17.7,17.7,17.7
2004-03-28,17.8,58,18.8,17.8,17.8,17.8,17.8
2004-03-29,17.8,58,18.8,17.8,17.8,17.8,17.8
2004-03-30,17.8,57,18.8,17.8,17.8,17.8,17.8
2004-03-31,17.8,57,18.9,17.8,17.8,17.8,17.8
2004-04-01,17.8,56,19,17.8,17.8,17.8,17.8
2004-04-02,17.8,54,19,17.8,17.8,17.8,17.8
2004-04-03,17.8,54,19,17.8,17.8,17.8,17.8
2004-04-04,17.8,54,19,17.8,17.8,17.8,17.8
2004-04-05,17.9,54,19.1,17.9,17.9,17.9,17.9
2004-04-06,17.9,54,19.1,17.9,17.9,17.9,17.9
2004-04-07,17.9,54,19.3,17.9,17.9,17.9,17.9
2004-04-08,17.7,53,19.3,17.7,17.7,17.7,17.7
2004-04-09,17.8,53,19.5,17.8,17.8,17.8,17.8
2004-04-10,17.9,54,19.5,17.9,17.9,17.9,17.9
2004-04-11,17.9,53,19.5,17.9,17.9,17.9,17.9
2004-04-12,17.9,53,19.5,17.9,17.9,17.9,17.9
2004-04-13,17.9,52,19.5,17.9,17.9,17.9,17.9
2004-04-14,17.9,51,19.5,17.9,17.9,17.9,17.9
2004-04-15,17.9,51,19.5,17.9,17.9,17.9,17.9
2004-04-16,18,51,19.5,18,18,18,18
2004-04-17,18,51,19.5,18,18,18,18
2004-04-18,18.5,54,20.2,18.5,18.5,18.5,18.5
2004-04-19,18.9,60,20.5,18.9,18.9,18.9,18.9
2004-04-20,19.1,60,20.8,19.1,19.1,19.1,19.1
2004-04-21,19.5,65,21,19.5,19.5,19.5,19.5
2004-04-22,19.6,63,21.1,19.6,19.6,19.6,19.6
2004-04-23,19.5,62,21.1,19.5,19.5,19.5,19.5
2004-04-24,19.4,60,21.2,19.4,19.4,19.4,19.4
2004-04-25,19.4,59,21.2,19.4,19.4,19.4,19.4
2004-04-26,19.3,58,21.3,19.3,19.3,19.3,19.3
2004-04-27,19.2,56,21.3,19.2,19.2,19.2,19.2
2004-04-28,19,55,21.4,19,19,19,19
2004-04-29,19,54,21.4,19,19,19,19
2004-04-30,19.1,54,21.4,19.1,19.1,19.1,19.1
2004-05-01,19,53,21.4,19,19,19,19
2004-05-02,18.9,52,21.4,18.9,18.9,18.9,18.9
2004-05-03,18.4,51,21.5,18.4,18.4,18.4,18.4
2004-05-04,18.2,50,21.5,18.2,18.2,18.2,18.2
2004-05-05,17.7,47,21.7,17.7,17.7,17.7,17.7
2004-05-06,17.1,45,21.7,17.1,17.1,17.1,17.1
2004-05-07,16.5,43,21.7,16.5,16.5,16.5,16.5
2004-05-08,15.9,40,21.7,15.9,15.9,15.9,15.9
2004-05-09,15.7,40,21.7,15.7,15.7,15.7,15.7
2004-05-10,15.3,39,21.7,15.3,15.3,15.3,15.3
2004-05-11,14.9,38,21.7,14.9,14.9,14.9,14.9
2004-05-12,15,40,21.7,15,15,15,15
2004-05-13,15,38,21.7,15,15,15,15
2004-05-14,15.2,39,21.7,15.2,15.2,15.2,15.2
2004-05-15,15.3,39,21.8,15.3,15.3,15.3,15.3
2004-05-16,15.1,39,21.9,15.1,15.1,15.1,15.1
2004-05-17,15.9,43,22.8,15.9,15.9,15.9,15.9
2004-05-18,15.8,41,22.8,15.8,15.8,15.8,15.8
2004-05-19,16.1,41,23.5,16.1,16.1,16.1,16.1
2004-05-20,16,40,23.5,16,16,16,16
2004-05-21,15.8,40,23.5,15.8,15.8,15.8,15.8
2004-05-22,16.3,43,24.3,16.3,16.3,16.3,16.3
2004-05-23,16.9,46,25,16.9,16.9,16.9,16.9
2004-05-24,17.3,48,25.3,17.3,17.3,17.3,17.3
2004-05-25,17.3,46,25.4,17.3,17.3,17.3,17.3
2004-05-26,17.2,45,25.5,17.2,17.2,17.2,17.2
2004-05-27,17.7,46,26,17.7,17.7,17.7,17.7
2004-05-28,17.9,44,26.6,17.9,17.9,17.9,17.9
2004-05-29,17.3,43,26.8,17.3,17.3,17.3,17.3
2004-05-30,17.4,44,27,17.4,17.4,17.4,17.4
2004-05-31,17.4,43,27.1,17.4,17.4,17.4,17.4
2004-06-01,17.3,42,27.2,17.3,17.3,17.3,17.3
2004-06-02,16.6,40,27.2,16.6,16.6,16.6,16.6
2004-06-03,16,39,27.2,16,16,16,16
2004-06-04,15.3,37,27.3,15.3,15.3,15.3,15.3
2004-06-05,14.3,34,27.3,14.3,14.3,14.3,14.3
2004-06-06,13.4,31,27.3,13.4,13.4,13.4,13.4
2004-06-07,12.3,29,27.3,12.3,12.3,12.3,12.3
2004-06-08,11.1,26,27.3,11.1,11.1,11.1,11.1
2004-06-09,9.9,23,27.3,9.9,9.9,9.9,9.9
2004-06-10,9,20,27.9,9,9,9,9
2004-06-11,9.5,23,28.9,9.5,9.5,9.5,9.5
